c1,c2,c1_wins,c2_wins,total_games
Banjo,Bayonetta,0,0,0
Banjo,Bowser,0,0,0
Banjo,Bowser_Jr,0,0,0
Banjo,Captain_Falcon,0,0,0
Banjo,Chrom,0,0,0
Banjo,Cloud,3,2,5
Banjo,Corrin,0,0,0
Banjo,Daisy,0,0,0
Banjo,Dark_Pit,0,0,0
Banjo,Dark_Samus,0,0,0
Banjo,Diddy_Kong,0,0,0
Banjo,Donkey_Kong,0,0,0
Banjo,Dr_Mario,0,0,0
Banjo,Duck_Hunt,0,0,0
Banjo,Falco,0,0,0
Banjo,Fox,0,0,0
Banjo,Ganondorf,0,0,0
Banjo,Greninja,2,0,2
Banjo,Hero,0,1,1
Banjo,Ice_Climbers,0,0,0
Banjo,Ike,0,0,0
Banjo,Incineroar,0,0,0
Banjo,Inkling,0,0,0
Banjo,Isabelle,0,0,0
Banjo,Jigglypuff,0,0,0
Banjo,Joker,0,4,4
Banjo,Ken,0,0,0
Banjo,King_Dedede,0,0,0
Banjo,King_K_Rool,0,0,0
Banjo,Kirby,0,0,0
Banjo,Link,0,0,0
Banjo,Little_Mac,0,0,0
Banjo,Lucario,0,0,0
Banjo,Lucas,0,0,0
Banjo,Lucina,0,0,0
Banjo,Luigi,0,0,0
Banjo,Mario,2,1,3
Banjo,Marth,0,0,0
Banjo,Mega_Man,0,0,0
Banjo,Meta_Knight,0,0,0
Banjo,Mewtwo,0,0,0
Banjo,Mii_Brawler,0,0,0
Banjo,Mii_Gunner,0,0,0
Banjo,Mii_Swordfighter,0,0,0
Banjo,Mr_Game_&_Watch,0,0,0
Banjo,Ness,0,0,0
Banjo,Olimar,0,0,0
Banjo,Pac-Man,0,0,0
Banjo,Palutena,0,2,2
Banjo,Peach,0,3,3
Banjo,Pichu,1,5,6
Banjo,Pikachu,1,3,4
Banjo,Piranha_Plant,0,0,0
Banjo,Pit,0,0,0
Banjo,Pokemon_Trainer,0,0,0
Banjo,ROB,4,3,7
Banjo,Richter,0,0,0
Banjo,Ridley,0,0,0
Banjo,Robin,0,0,0
Banjo,Rosalina,0,0,0
Banjo,Roy,0,0,0
Banjo,Ryu,0,0,0
Banjo,Samus,0,0,0
Banjo,Sheik,0,0,0
Banjo,Shulk,0,0,0
Banjo,Simon,0,0,0
Banjo,Snake,2,1,3
Banjo,Sonic,0,0,0
Banjo,Terry,0,0,0
Banjo,Toon_Link,0,0,0
Banjo,Villager,0,1,1
Banjo,Wario,0,0,0
Banjo,Wii_Fit_Trainer,0,0,0
Banjo,Wolf,0,0,0
Banjo,Yoshi,0,2,2
Banjo,Young_Link,0,0,0
Banjo,Zelda,0,0,0
Banjo,Zero_Suit_Samus,1,2,3
Bayonetta,Bowser,0,0,0
Bayonetta,Bowser_Jr,0,0,0
Bayonetta,Captain_Falcon,0,0,0
Bayonetta,Chrom,3,0,3
Bayonetta,Cloud,0,0,0
Bayonetta,Corrin,0,0,0
Bayonetta,Daisy,0,0,0
Bayonetta,Dark_Pit,0,0,0
Bayonetta,Dark_Samus,0,0,0
Bayonetta,Diddy_Kong,1,0,1
Bayonetta,Donkey_Kong,2,0,2
Bayonetta,Dr_Mario,0,0,0
Bayonetta,Duck_Hunt,0,0,0
Bayonetta,Falco,0,0,0
Bayonetta,Fox,4,7,11
Bayonetta,Ganondorf,0,0,0
Bayonetta,Greninja,0,0,0
Bayonetta,Hero,0,0,0
Bayonetta,Ice_Climbers,0,0,0
Bayonetta,Ike,0,3,3
Bayonetta,Incineroar,0,0,0
Bayonetta,Inkling,2,2,4
Bayonetta,Isabelle,0,0,0
Bayonetta,Jigglypuff,0,0,0
Bayonetta,Joker,0,0,0
Bayonetta,Ken,0,0,0
Bayonetta,King_Dedede,0,0,0
Bayonetta,King_K_Rool,0,0,0
Bayonetta,Kirby,0,0,0
Bayonetta,Link,0,0,0
Bayonetta,Little_Mac,0,0,0
Bayonetta,Lucario,0,0,0
Bayonetta,Lucas,2,0,2
Bayonetta,Lucina,0,3,3
Bayonetta,Luigi,0,0,0
Bayonetta,Mario,1,1,2
Bayonetta,Marth,1,0,1
Bayonetta,Mega_Man,1,2,3
Bayonetta,Meta_Knight,0,0,0
Bayonetta,Mewtwo,0,0,0
Bayonetta,Mii_Brawler,0,0,0
Bayonetta,Mii_Gunner,0,0,0
Bayonetta,Mii_Swordfighter,0,0,0
Bayonetta,Mr_Game_&_Watch,0,0,0
Bayonetta,Ness,0,0,0
Bayonetta,Olimar,0,3,3
Bayonetta,Pac-Man,4,8,12
Bayonetta,Palutena,2,3,5
Bayonetta,Peach,0,2,2
Bayonetta,Pichu,0,0,0
Bayonetta,Pikachu,0,0,0
Bayonetta,Piranha_Plant,0,0,0
Bayonetta,Pit,0,0,0
Bayonetta,Pokemon_Trainer,1,0,1
Bayonetta,ROB,9,6,15
Bayonetta,Richter,0,0,0
Bayonetta,Ridley,0,0,0
Bayonetta,Robin,0,0,0
Bayonetta,Rosalina,0,0,0
Bayonetta,Roy,0,0,0
Bayonetta,Ryu,0,0,0
Bayonetta,Samus,0,0,0
Bayonetta,Sheik,0,0,0
Bayonetta,Shulk,0,0,0
Bayonetta,Simon,0,0,0
Bayonetta,Snake,1,4,5
Bayonetta,Sonic,0,1,1
Bayonetta,Terry,0,0,0
Bayonetta,Toon_Link,0,0,0
Bayonetta,Villager,0,0,0
Bayonetta,Wario,0,2,2
Bayonetta,Wii_Fit_Trainer,0,0,0
Bayonetta,Wolf,0,0,0
Bayonetta,Yoshi,3,2,5
Bayonetta,Young_Link,0,0,0
Bayonetta,Zelda,0,0,0
Bayonetta,Zero_Suit_Samus,1,1,2
Bowser,Bowser_Jr,0,0,0
Bowser,Captain_Falcon,0,0,0
Bowser,Chrom,3,1,4
Bowser,Cloud,0,0,0
Bowser,Corrin,1,0,1
Bowser,Daisy,0,0,0
Bowser,Dark_Pit,0,0,0
Bowser,Dark_Samus,0,0,0
Bowser,Diddy_Kong,0,0,0
Bowser,Donkey_Kong,0,0,0
Bowser,Dr_Mario,0,0,0
Bowser,Duck_Hunt,0,0,0
Bowser,Falco,2,1,3
Bowser,Fox,1,0,1
Bowser,Ganondorf,0,0,0
Bowser,Greninja,3,2,5
Bowser,Hero,0,0,0
Bowser,Ice_Climbers,0,0,0
Bowser,Ike,2,0,2
Bowser,Incineroar,0,0,0
Bowser,Inkling,2,0,2
Bowser,Isabelle,0,0,0
Bowser,Jigglypuff,0,0,0
Bowser,Joker,0,0,0
Bowser,Ken,0,0,0
Bowser,King_Dedede,0,0,0
Bowser,King_K_Rool,0,0,0
Bowser,Kirby,0,0,0
Bowser,Link,0,2,2
Bowser,Little_Mac,0,0,0
Bowser,Lucario,1,3,4
Bowser,Lucas,3,0,3
Bowser,Lucina,0,3,3
Bowser,Luigi,0,0,0
Bowser,Mario,0,1,1
Bowser,Marth,0,0,0
Bowser,Mega_Man,3,1,4
Bowser,Meta_Knight,0,0,0
Bowser,Mewtwo,1,2,3
Bowser,Mii_Brawler,0,0,0
Bowser,Mii_Gunner,0,0,0
Bowser,Mii_Swordfighter,0,0,0
Bowser,Mr_Game_&_Watch,0,0,0
Bowser,Ness,0,0,0
Bowser,Olimar,0,1,1
Bowser,Pac-Man,3,2,5
Bowser,Palutena,1,6,7
Bowser,Peach,3,7,10
Bowser,Pichu,7,4,11
Bowser,Pikachu,0,2,2
Bowser,Piranha_Plant,0,0,0
Bowser,Pit,0,0,0
Bowser,Pokemon_Trainer,3,1,4
Bowser,ROB,2,0,2
Bowser,Richter,0,1,1
Bowser,Ridley,0,0,0
Bowser,Robin,0,2,2
Bowser,Rosalina,1,3,4
Bowser,Roy,0,0,0
